,Trial,BPM,GestureSize,MinAngleRegionTwo
0,1.0,80.0,S,67.03144
1,2.0,80.0,S,66.94464
2,3.0,80.0,S,61.581019999999995
3,4.0,80.0,S,75.72021
4,5.0,80.0,S,65.42288
5,6.0,80.0,S,63.359809999999996
6,7.0,80.0,S,69.6646
7,8.0,80.0,S,64.22867
8,9.0,80.0,S,65.47829
9,10.0,80.0,S,66.58221999999999
10,11.0,80.0,S,66.22965
11,12.0,80.0,S,67.51099
12,13.0,80.0,S,66.45079
13,14.0,80.0,S,63.18864
14,15.0,80.0,S,70.41301999999997
15,16.0,80.0,S,75.31829
16,17.0,80.0,S,69.06057
17,18.0,80.0,S,68.8336
18,19.0,80.0,S,71.93191999999998
19,20.0,80.0,S,65.53856
20,21.0,80.0,S,69.21736999999999
21,22.0,80.0,S,70.8541
22,23.0,80.0,S,77.70767
23,24.0,80.0,S,79.60388
24,25.0,80.0,S,73.6918
25,26.0,80.0,S,67.5313
26,27.0,80.0,S,78.15295
27,28.0,80.0,S,75.85452
28,29.0,80.0,S,71.96552
29,30.0,80.0,S,68.49441
30,31.0,80.0,S,75.37826
31,32.0,80.0,S,76.44333
32,33.0,80.0,S,74.44161
33,34.0,80.0,S,70.77595
34,35.0,80.0,S,70.3477
35,36.0,80.0,S,63.97155
36,37.0,80.0,S,70.21124
37,38.0,80.0,S,78.12387
38,39.0,80.0,S,71.69699
39,40.0,80.0,S,76.11907
40,1.0,100.0,S,68.70116999999999
41,2.0,100.0,S,61.77036999999999
42,3.0,100.0,S,71.91444
43,5.0,100.0,S,58.516009999999994
44,6.0,100.0,S,76.37482
45,7.0,100.0,S,69.94771999999999
46,8.0,100.0,S,68.22424000000001
47,9.0,100.0,S,69.65899999999999
48,10.0,100.0,S,67.93449
49,11.0,100.0,S,67.83936
50,12.0,100.0,S,73.29916
51,13.0,100.0,S,79.18165
52,14.0,100.0,S,70.18890999999999
53,15.0,100.0,S,76.99467
54,16.0,100.0,S,78.00248
55,17.0,100.0,S,83.43513
56,18.0,100.0,S,78.44798
57,19.0,100.0,S,77.09744
58,20.0,100.0,S,80.01696
59,21.0,100.0,S,75.23177
60,22.0,100.0,S,80.68288000000003
61,23.0,100.0,S,71.81837
62,24.0,100.0,S,74.75388000000002
63,25.0,100.0,S,73.14621
64,26.0,100.0,S,74.05019
65,27.0,100.0,S,76.39263000000003
66,28.0,100.0,S,76.57918000000002
67,29.0,100.0,S,74.12854
68,30.0,100.0,S,70.09406
69,31.0,100.0,S,71.72977
70,32.0,100.0,S,70.02271999999999
71,33.0,100.0,S,70.63127
72,34.0,100.0,S,79.05025
73,35.0,100.0,S,77.78407
74,36.0,100.0,S,79.87814
75,37.0,100.0,S,82.57874
76,38.0,100.0,S,74.93916
77,39.0,100.0,S,77.53394
78,40.0,100.0,S,81.8467
79,1.0,120.0,S,78.63725
80,2.0,120.0,S,75.7366
81,3.0,120.0,S,74.75714
82,4.0,120.0,S,78.24557
83,5.0,120.0,S,69.31594
84,6.0,120.0,S,79.02769
85,7.0,120.0,S,69.43353
86,8.0,120.0,S,75.09081
87,9.0,120.0,S,68.70662
